,States,Female,Male
0,Alabama,225788,242602
1,Alaska,25006,25665
2,Arizona,267965,266605
3,Arkansas,126121,140240
4,California,1561272,1497598
5,Colorado,205830,197210
6,Connecticut,211201,193518
7,Delaware,49716,50887
8,District-of-Columbia,30068,27801
9,Florida,1069548,1151144
10,Georgia,410055,417584
11,Hawaii,64720,63152
12,Idaho,66261,70933
13,Illinois,651537,620795
14,Indiana,321173,312821
15,Iowa,166580,167359
16,Kansas,136156,139318
17,Kentucky,235866,241954
18,Louisiana,214043,237124
19,Maine,82448,81360
20,Maryland,286897,268494
21,Massachusetts,382065,342537
22,Michigan,527082,530810
23,Minnesota,258685,261942
24,Mississippi,110774,123311
25,Missouri,307972,300427
26,Montana,51705,55450
27,Nebraska,90407,91390
28,Nevada,108610,114776
29,New-Hampshire,74618,73076
30,New-Jersey,502228,469952
31,New-Mexico,83413,84529
32,New-York,1086608,1010451
33,North-Carolina,457965,462333
34,North-Dakota,33011,35963
35,Ohio,616209,595356
36,Oklahoma,179606,183747
37,Oregon,196224,189267
38,Pennsylvania,765536,738097
39,Rhode-Island,63330,58663
40,South-Carolina,225540,238531
41,South-Dakota,36589,38646
42,Tennessee,303008,308370
43,Texas,951428,967665
44,Utah,82472,89207
45,Vermont,35643,34165
46,Virginia,359894,345442
47,Washington,329601,318963
48,West-Virginia,108822,111405
49,Wisconsin,293117,293571
50,Wyoming,23037,25552
