,Location,All Adults,Male,Female
0,United-States,0.075,0.093,0.058
1,Alabama,0.101,0.13,0.08
2,Alaska,0.061,0.073,0.049
3,Arizona,0.075,0.099,0.054
4,Arkansas,0.116,0.14,0.096
5,California,0.057,0.068,0.047
6,Colorado,0.056,0.069,0.043
7,Connecticut,0.069,0.085,0.055
8,Delaware,0.083,0.115,0.056
9,District-of-Columbia,0.049,0.065,0.035
10,Florida,0.09,0.114,0.066
11,Georgia,0.087,0.111,0.068
12,Hawaii,0.048,0.063,0.035
13,Idaho,0.074,0.092,0.058
14,Illinois,0.063,0.078,0.048
15,Indiana,0.086,0.104,0.07
16,Iowa,0.073,0.095,0.053
17,Kansas,0.076,0.092,0.062
18,Kentucky,0.103,0.112,0.094
19,Louisiana,0.096,0.112,0.082
20,Maine,0.085,0.111,0.066
21,Maryland,0.068,0.088,0.051
22,Massachusetts,0.064,0.082,0.048
23,Michigan,0.084,0.111,0.062
24,Minnesota,0.066,0.088,0.045
25,Mississippi,0.099,0.13,0.076
26,Missouri,0.081,0.1,0.065
27,Montana,0.073,0.096,0.049
28,Nebraska,0.068,0.085,0.053
29,Nevada,0.09,0.121,0.061
30,New-Hampshire,0.072,0.107,0.043
31,New-Jersey,0.069,0.09,0.049
32,New-Mexico,0.068,0.082,0.056
33,New-York,0.065,0.087,0.045
34,North-Carolina,0.079,0.094,0.067
35,North-Dakota,0.075,0.09,0.059
36,Ohio,0.087,0.108,0.069
37,Oklahoma,0.095,0.11,0.083
38,Oregon,0.062,0.076,0.048
39,Pennsylvania,0.086,0.099,0.072
40,Rhode-Island,0.078,0.111,0.053
41,South-Carolina,0.093,0.113,0.076
42,South-Dakota,0.078,0.095,0.064
43,Tennessee,0.089,0.107,0.073
44,Texas,0.067,0.089,0.045
45,Utah,0.057,0.075,0.039
46,Vermont,0.075,0.097,0.055
47,Virginia,0.071,0.086,0.057
48,Washington,0.067,0.085,0.049
49,West-Virginia,0.118,0.148,0.094
50,Wisconsin,0.061,0.081,0.041
51,Wyoming,0.072,0.089,0.055
52,Guam,0.084,0.084,0.084
53,Puerto Rico,0.085,0.085,0.086
